member_id|set_en|set_ur|sort_order|gloss_ur|nuance_en|nuance_ur|topic_id|book_ref
NSM:ACCOMPLISH:ACCOMPLISH_TO_COMPLETE:X4586B2B9|Accomplish , to complete|پورا کرنا -ہونا|6|پورا کرنا -ہونا|Accomplish , to complete||P24|Kailani — topic P24
NSM:ACCOMPLISH:ACCOMPLISH_TO_COMPLETE:X96E8F981|Accomplish , to complete|پورا کرنا -ہونا|7|پورا کرنا -ہونا|Accomplish , to complete||P24|Kailani — topic P24
NSM:ACTIONS:ACTIONS_IN_THE_NIGHT:X2919072D|Actions in the night|رات کے کام|7|رات کے کام|Actions in the night||R2|Kailani — topic R2
NSM:ACTIONS:ACTIONS_RELATED_TO_THE_MORNING:X9F826A12|Actions related to the morning|صبح کرنا|1|صبح کرنا|Actions related to the morning||SA3|Kailani — topic SA3
NSM:ADOLESCENCE:ADOLESCENCE_YOUTH:X56750292|Adolescence, youth|جوانی|1|جوانی|Adolescence, youth||J18|Kailani — topic J18
NSM:ADOLESCENCE:ADOLESCENCE_YOUTH:XBE0FA08B|Adolescence, youth|جوانی|2|جوانی|Adolescence, youth||J18|Kailani — topic J18
NSM:ALL:ALL_WHOLE_ENTIRE:XFFA8517F|All, whole, entire|سب سارے|1|سب سارے|All, whole, entire||S7|Kailani — topic S7
NSM:ALL:ALL_WHOLE_ENTIRE:X047DEA93|All, whole, entire|سب سارے|2|سب سارے|All, whole, entire||S7|Kailani — topic S7
NSM:ANGELS:ANGELS_OF_HELL_FIRE:X48E15B86|Angels of hell fire|دوزخ کے فرشتے|4|دوزخ کے فرشتے|Angels of hell fire||D23|Kailani — topic D23
NSM:ANGER:ANGER_TEMPER:X84BE849B|Anger, temper|غصہ|5|غصہ|Anger, temper||GH5|Kailani — topic GH5
NSM:APPROVAL:APPROVAL:X36A9D753|Approval|رضامندی [خوشنودی]|1|رضامندی [خوشنودی]|Approval||R11|Kailani — topic R11
NSM:APPROVAL:APPROVAL:X6245B4D0|Approval|رضامندی [خوشنودی]|2|رضامندی [خوشنودی]|Approval||R11|Kailani — topic R11
NSM:BACK:BACK_BEHIND:X70DB6F23|Back, behind|پیچھے|5|پیچھے|Back, behind||P47|Kailani — topic P47
NSM:BACKBONE:BACKBONE_LOIN:X36AA5435|Backbone, loin|پیٹھ پشت|4|پیٹھ پشت|Backbone, loin||P45|Kailani — topic P45
NSM:BEAUTIFUL:BEAUTIFUL:XCB22E4A9|Beautiful|خوبصورت|1|خوبصورت|Beautiful||KH15|Kailani — topic KH15
NSM:BEAUTIFUL:BEAUTIFUL:XCB92A8B0|Beautiful|خوبصورت|2|خوبصورت|Beautiful||KH15|Kailani — topic KH15
NSM:BEAUTIFUL:BEAUTIFUL:X56750292|Beautiful|خوبصورت|3|خوبصورت|Beautiful||KH15|Kailani — topic KH15
NSM:BEHIND:BEHIND_LATTER:XEB376C36|Behind, latter|پچھلا|3|پچھلا|Behind, latter||P10|Kailani — topic P10
NSM:BLACK:BLACK:XBE0FA08B|black|سیاہ سیاہی|1|سیاہ سیاہی|black||S26|Kailani — topic S26
NSM:BLACK:BLACK:XA5F6B4EB|black|سیاہ سیاہی|2|سیاہ سیاہی|black||S26|Kailani — topic S26
NSM:BODY:BODY:X51C9A584|Body|جسم|1|جسم|Body||J6|Kailani — topic J6
NSM:BODY:BODY:XCB22E4A9|Body|جسم|2|جسم|Body||J6|Kailani — topic J6
NSM:BOWL:BOWL:X5EE1AF47|Bowl|پیالہ|5|پیالہ|Bowl||P43|Kailani — topic P43
