hits	candidate
138	الليث
121	أبو منصور
100	غيره
92	الشاعر
51	ابن شميل
50	آخر
49	أبو إسحق
47	الراجز
42	أبو إسحاق
39	تعالى
38	شارحه
31	أبو الهيثم
29	أبو العباس
26	مرة
25	أبو سعيد
22	أيضا
22	في التكملة
19	الشارح
18	في موضع آخر
18	شارح القاموس
17	ابن بزرج
16	الراعي
16	أبو ذؤيب
16	أبو حاتم
16	ابن مقبل
15	أبو بكر
15	أبو علي
15	القتيبي
14	في القاموس
14	منه
14	آخرون
13	أبو النجم
13	عز وجل
13	في شرح القاموس
12	كراع
12	ابن كيسان
12	النضر
12	الشماخ
11	الحسن
10	ابن خالويه
10	ابن أحمر
10	أعرابي
10	المفضل
10	الآخر
10	أبو تراب
10	فيه
9	الطرماح
9	كثير
9	المجد
9	حسان
8	قوم
8	ابن عرفة
8	أبو الحسن
8	خالد بن جنبة
7	الشيء
7	الأحمر
7	ساعدة بن جؤية
7	حميد بن ثور
7	القطامي
6	الهروي
6	أوس بن حجر
6	فيها
6	كثير عزة
6	إمرؤ القيس
6	ابن الكلبي
6	أبو خيرة
6	أبو دواد
6	محمد بن حبيب
6	ابن حمزة
6	ياقوت
5	أبو حية النميري
5	زيد الخيل
5	عمارة
5	أبو طالب
5	قائل
5	الهذلي
5	قوله
5	أوس
5	أبو نصر
